points, hull, time
47100, 27, 13
47200, 26, 13
47300, 27, 15
47400, 28, 14
47500, 28, 11
47600, 30, 16
47700, 24, 14
47800, 26, 12
47900, 20, 11
48000, 22, 11
48100, 33, 13
48200, 31, 12
48300, 29, 12
48400, 33, 12
48500, 28, 14
48600, 33, 12
48700, 27, 12
48800, 32, 16
48900, 23, 13
49000, 26, 13
49100, 29, 12
49200, 32, 12
49300, 29, 12
49400, 23, 15
49500, 34, 15
49600, 24, 16
49700, 27, 14
49800, 30, 14
49900, 32, 16
50000, 25, 17
50100, 28, 13
50200, 27, 14
50300, 27, 12
50400, 30, 12
50500, 30, 15
50600, 29, 13
50700, 27, 13
50800, 33, 16
50900, 32, 17
51000, 29, 15
51100, 26, 13
51200, 30, 16
51300, 28, 13
51400, 34, 15
51500, 22, 15
51600, 23, 12
51700, 36, 18
51800, 29, 12
51900, 22, 12
52000, 19, 12
52100, 29, 14
52200, 33, 13
52300, 29, 17
52400, 28, 14
52500, 23, 13
52600, 27, 13
52700, 29, 12
52800, 28, 14
52900, 30, 13
53000, 24, 13
53100, 31, 15
53200, 29, 13
53300, 32, 15
53400, 37, 16
53500, 30, 15
53600, 29, 13
53700, 31, 19
53800, 31, 18
53900, 24, 17
54000, 31, 19
54100, 29, 17
54200, 25, 14
54300, 23, 13
54400, 27, 15
54500, 33, 17
54600, 25, 13
54700, 25, 14
54800, 30, 15
54900, 31, 13
55000, 24, 13
55100, 30, 14
55200, 27, 14
55300, 23, 16
55400, 24, 12
55500, 29, 15
55600, 33, 22
55700, 32, 24
55800, 28, 24
55900, 25, 23
56000, 30, 16
56100, 27, 15
56200, 29, 15
56300, 31, 18
56400, 28, 18
56500, 42, 16
56600, 29, 14
56700, 32, 15
56800, 21, 13
56900, 26, 18
57000, 20, 14
57100, 27, 16
57200, 24, 15
57300, 25, 17
57400, 31, 15
57500, 29, 16
57600, 28, 14
57700, 36, 18
57800, 27, 15
57900, 25, 15
58000, 29, 16
58100, 26, 19
58200, 23, 15
58300, 31, 17
58400, 29, 16
58500, 31, 16
58600, 28, 16
58700, 29, 16
58800, 34, 16
58900, 31, 16
59000, 21, 21
59100, 26, 19
59200, 33, 17
59300, 18, 15
59400, 25, 20
59500, 32, 21
59600, 32, 20
59700, 28, 16
59800, 26, 16
59900, 22, 14
60000, 30, 16
60100, 29, 14
60200, 23, 16
60300, 30, 17
60400, 34, 17
60500, 29, 21
60600, 28, 20
60700, 33, 17
60800, 29, 17
60900, 30, 16
61000, 29, 19
61100, 34, 17
61200, 36, 17
61300, 28, 16
61400, 28, 18
61500, 35, 18
61600, 31, 17
61700, 29, 20
61800, 33, 18
61900, 31, 17
62000, 33, 19
62100, 25, 17
62200, 40, 19
62300, 30, 17
62400, 27, 16
62500, 22, 16
62600, 28, 16
62700, 30, 17
62800, 26, 16
62900, 24, 20
63000, 30, 17
63100, 27, 22
63200, 28, 19
63300, 27, 17
63400, 31, 17
63500, 28, 15
63600, 33, 18
63700, 26, 16
63800, 31, 18
63900, 31, 16
64000, 26, 18
64100, 31, 20
64200, 26, 18
64300, 21, 15
64400, 32, 17
64500, 31, 17
64600, 34, 18
64700, 27, 19
64800, 25, 18
64900, 29, 21
65000, 31, 18
65100, 29, 18
65200, 25, 18
65300, 32, 26
65400, 33, 18
65500, 29, 17
65600, 32, 23
65700, 22, 18
65800, 31, 16
65900, 30, 17
66000, 31, 17
66100, 31, 20
66200, 23, 21
66300, 28, 18
66400, 28, 17
66500, 33, 18
66600, 18, 16
66700, 31, 20
66800, 35, 23
66900, 28, 18
67000, 30, 18
67100, 31, 24
67200, 29, 26
67300, 28, 30
67400, 31, 30
67500, 24, 27
67600, 27, 26
67700, 25, 30
67800, 27, 30
67900, 28, 26
68000, 30, 29
68100, 25, 28
68200, 31, 28
68300, 27, 29
68400, 24, 36
68500, 35, 30
68600, 32, 31
68700, 32, 29
68800, 25, 31
68900, 27, 34
69000, 35, 32
69100, 28, 29
69200, 25, 30
69300, 28, 36
69400, 28, 40
69500, 27, 34
69600, 30, 38
69700, 26, 35
69800, 35, 39
69900, 29, 34
70000, 22, 29
70100, 29, 34
70200, 26, 35
70300, 32, 43
70400, 24, 31
70500, 29, 36
70600, 22, 31
70700, 23, 32
70800, 33, 33
70900, 34, 33
71000, 27, 64
71100, 27, 34
71200, 33, 30
71300, 34, 43
71400, 33, 30
71500, 33, 34
71600, 29, 32
71700, 40, 37
71800, 24, 29
71900, 28, 33
72000, 36, 34
72100, 30, 31
72200, 27, 35
72300, 31, 41
72400, 38, 33
72500, 30, 33
72600, 31, 31
72700, 26, 32
72800, 29, 34
72900, 26, 32
73000, 27, 31
73100, 24, 30
73200, 32, 32
73300, 30, 32
73400, 28, 32
73500, 27, 32
73600, 29, 33
73700, 32, 33
73800, 24, 32
73900, 25, 32
74000, 27, 30
74100, 28, 31
74200, 24, 32
74300, 33, 32
74400, 30, 36
74500, 30, 32
74600, 37, 35
74700, 31, 33
74800, 27, 35
74900, 29, 32
75000, 26, 28
75100, 29, 33
75200, 29, 32
75300, 31, 31
75400, 30, 33
75500, 31, 33
75600, 27, 32
75700, 33, 36
75800, 34, 35
75900, 28, 32
76000, 28, 32
76100, 25, 31
76200, 28, 32
76300, 35, 39
76400, 28, 33
76500, 29, 33
76600, 25, 31
76700, 29, 34
76800, 29, 32
76900, 26, 32
77000, 31, 32
77100, 39, 38
77200, 34, 36
77300, 27, 34
77400, 33, 36
77500, 26, 33
77600, 28, 34
77700, 29, 33
77800, 25, 33
77900, 25, 32
78000, 25, 33
78100, 32, 32
