points, hull, time
78000, 4, 25
78100, 4, 26
78200, 4, 30
78300, 4, 28
78400, 4, 32
78500, 4, 29
78600, 4, 28
78700, 4, 26
78800, 4, 30
78900, 4, 26
79000, 4, 27
79100, 4, 26
79200, 4, 26
79300, 4, 26
79400, 4, 25
79500, 4, 26
79600, 4, 27
79700, 4, 32
79800, 4, 26
79900, 4, 27
80000, 4, 24
80100, 4, 26
80200, 4, 27
80300, 4, 23
80400, 4, 25
80500, 4, 25
80600, 4, 31
80700, 4, 29
80800, 4, 26
80900, 4, 27
81000, 4, 26
81100, 4, 26
81200, 4, 24
81300, 4, 26
81400, 4, 25
81500, 4, 33
81600, 4, 28
81700, 4, 26
81800, 4, 27
81900, 4, 27
82000, 4, 26
82100, 4, 27
82200, 4, 27
82300, 4, 26
82400, 4, 32
82500, 4, 28
82600, 4, 27
82700, 4, 26
82800, 4, 28
82900, 4, 28
83000, 4, 25
83100, 4, 25
83200, 4, 30
83300, 4, 29
83400, 4, 29
83500, 4, 28
83600, 4, 30
83700, 4, 27
83800, 4, 29
83900, 4, 28
84000, 4, 26
84100, 4, 35
84200, 4, 29
84300, 4, 28
84400, 4, 35
84500, 4, 31
84600, 4, 29
84700, 4, 29
84800, 4, 27
84900, 4, 33
85000, 4, 28
85100, 4, 28
85200, 4, 28
85300, 4, 29
85400, 4, 31
85500, 4, 27
85600, 4, 28
85700, 4, 26
85800, 4, 29
85900, 4, 27
86000, 4, 27
86100, 4, 28
86200, 4, 29
86300, 4, 28
86400, 4, 28
86500, 4, 28
86600, 4, 34
86700, 4, 27
86800, 4, 31
86900, 4, 29
87000, 4, 26
87100, 4, 29
87200, 4, 29
87300, 4, 29
87400, 4, 32
87500, 4, 27
87600, 4, 28
87700, 4, 31
87800, 4, 27
87900, 4, 29
88000, 4, 28
88100, 4, 29
88200, 4, 35
88300, 4, 31
88400, 4, 29
88500, 4, 29
88600, 4, 29
88700, 4, 29
88800, 4, 28
88900, 4, 28
89000, 4, 35
89100, 4, 30
89200, 4, 30
89300, 4, 29
89400, 4, 30
89500, 4, 26
89600, 4, 30
89700, 4, 31
89800, 4, 34
89900, 4, 29
90000, 4, 29
90100, 4, 42
90200, 4, 39
90300, 4, 30
90400, 4, 29
90500, 4, 31
90600, 4, 41
90700, 4, 31
90800, 4, 30
90900, 4, 38
91000, 4, 40
91100, 4, 50
91200, 4, 50
91300, 4, 51
91400, 4, 65
91500, 4, 64
91600, 4, 62
91700, 4, 48
91800, 4, 42
91900, 4, 30
92000, 4, 30
92100, 4, 31
92200, 4, 30
92300, 4, 37
92400, 4, 32
92500, 4, 29
92600, 4, 33
92700, 4, 30
92800, 4, 31
92900, 4, 31
93000, 4, 35
93100, 4, 33
93200, 4, 32
93300, 4, 36
93400, 4, 35
93500, 4, 34
93600, 4, 31
93700, 4, 31
93800, 4, 33
93900, 4, 31
94000, 4, 32
94100, 4, 37
94200, 4, 41
94300, 4, 35
94400, 4, 30
94500, 4, 35
94600, 4, 35
94700, 4, 31
94800, 4, 32
94900, 4, 31
95000, 4, 33
95100, 4, 36
95200, 4, 34
95300, 4, 33
95400, 4, 33
95500, 4, 32
95600, 4, 32
95700, 4, 32
95800, 4, 31
95900, 4, 32
96000, 4, 37
96100, 4, 31
96200, 4, 31
96300, 4, 30
96400, 4, 32
96500, 4, 32
96600, 4, 32
96700, 4, 33
96800, 4, 33
96900, 4, 39
97000, 4, 32
97100, 4, 32
97200, 4, 32
97300, 4, 32
97400, 4, 33
97500, 4, 32
97600, 4, 32
97700, 4, 33
97800, 4, 39
97900, 4, 33
98000, 4, 32
98100, 4, 32
98200, 4, 32
98300, 4, 33
98400, 4, 33
98500, 4, 32
98600, 4, 31
98700, 4, 34
98800, 4, 31
98900, 4, 35
99000, 4, 33
99100, 4, 33
99200, 4, 33
99300, 4, 33
99400, 4, 34
99500, 4, 39
99600, 4, 33
99700, 4, 32
99800, 4, 32
99900, 4, 33
100000, 4, 33
